2020;Mix2020;2019;Mix2019;2018;Mix2018;2017;Mix2017;2016;Mix2016;2015;Mix2015;2014;Mix2014;2013;Mix2013;2012;Mix2012;2011;Mix2011
COMERCIALIZADORA ELÉCTRICA DE CADIZ, S.A.;0,00;COOPERATIVA VALENCIANA ELECTRODISTRIBUIDORA DE FUERZA Y ALUMBRADO SERRALLO, S.Coop.V.;0,00;ECOEQ ENERGÉTICA, S.L.;0,40;ELÉCTRICA DE CHERA, S.C.V.;0,00;ELÉCTRICA DEL POZO, S.COOP.MAD.;0,00;INICIATIVA E. NOVA, S.L.;0,00;;;;;;;;
COMERCIALIZADORA ELÉCTRICA PENINSULAR S.L.;0,00;COX ENERGÍA COMERCIALIZADORA ESPAÑA, S.L.U.;0,00;ECOFUTURA LUZ ENERGÍA, S.L.;0,15;ELÉCTRICA DE GUADASSUAR COOP. V.;0,00;ELÉCTRICA NTRA. SRA. DE GRACIA SDAD. COOP. VALENCIANA;0,00;"LA UNION ELECTRO INDUSTRIAL, S.L. ""UNIPERSONAL""";0,00;;;;;;;;
COMERCIALIZADORA ELÉCTRICA TALAYUELAS, S.L.;0,00;CYE ENERGÍA, S.L.;0,00;ECONACTIVA, S. COOP DE C-LM;0,00;ELÉCTRICA DE GUIXES ENERG¿A, S.L.;0,30;EMASP, S. COOP.;0,00;LIGHT UP, S.L.;0,00;;;;;;;;
COMERCIALIZADORA ENERGÉTICA SOSTENIBLE, S.A.U.;0,00;DAIMUZ ENERGÍA, S.L.;0,00;EDP COMERCIALIZADORA, S.A.U.;0,23;ELÉCTRICA DIRECTA ENERGÍA, S.L.;0,06;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,00;LUCI MUNDI ENERGÍA, S.L.;0,17;;;;;;;;
COMERCIALIZADORA LERSA , S.L.;0,00;DISA ENERGÍA ELÉCTRICA, S.L.U.;0,00;EDP ENERGÍA S.A.U.;0,23;ELÉCTRICA SOLLERENSE, S.A.;0,00;ENDESA ENERGÍA, S.A.;0,34;NATURGAS ENERGÍA COMERCIALIZADORA, S.A.U.;0,23;;;;;;;;
COMERCIALIZADORA TORRES ENERGÍA, S.L.;0,00;DREUE ELECTRIC, S.L.;0,28;ELECNOVA SIGLO XXI, S.L.;0,35;ELÉCTRICA DE MELIANA, S.C.V.;0,00;ENERCOLUZ ENERGÍA, S.L.;0,30;NEXUS ENERGÍA, S.A.;0,12;;;;;;;;
COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;DRK ENERGY, S.L.;0,23;ELECTRA ALTO MIÑO COMERCIALIZADORA DE ENERGÍA, S.L.U.;0,41;ELÉCTRICA DE SOT DE CHERA S. COOP.V.;0,00;ENERGEA SAVING ENERGY, S.L.;0,00;NEXUS RENOVABLES, S.L.;0,02;;;;;;;;
CONECTA ENERGÍA VERDE, S.L.;0,00;ECOEQ ENERGÉTICA, S.L.;0,16;ELECTRA CALDENSE ENERGÍA, S.A.;0,00;ELÉCTRICA DE VINALESA, S.L.U.;0,06;ENERGÍA NARANJA, S.L.;0,00;ON DEMAND FACILITIES, S.L.;0,04;;;;;;;;
COOPERATIVA ELÉCTRICA DE CASTELLAR, S.C.V.;0,00;ECOFUTURA LUZ ENERGÍA, S.L.;0,30;ELECTRA CUNTIENSE COMERCIALIZADORA, S.L.U.;0,41;EMASP, S. COOP.;0,00;ENERGY STROM XXI, S.L.;0,32;PROT ENERGÍA COMERCIALIZACIÓN, S.L.;0,00;;;;;;;;
COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;ECONACTIVA, S. COOP DE C-LM;0,00;ELECTRA DEL CARDENER ENERGÍA, S.A.;0,00;EMPRESA DE ALUMBRADO ELÉCTRICO DE CEUTA, S.A.;0,42;ENERGY TRADER SOLUTIONS, S.L.;0,34;RENEWABLE VENTURES, S.L.;0,00;;;;;;;;
COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,00;EDP COMERCIALIZADORA, S.A.U.;0,23;ELECTRA ENERGÍA, S.A.U.;0,37;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,00;ENERGÍA COLECTIVA, S.L.;0,00;SAMPOL INGENIERÍA Y OBRAS, S.A.;0,31;;;;;;;;
