Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
Andalucía,TRANSPORTES BARRANQUERO,47.0,H. Transporte y almacenamiento,2822.0,Pequeña,126.0,2014.0
Comunitat Valenciana,"ETRES CONSULTORÍA Y EDIFICACIÓN, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,127.0,2014.0
Andalucía,BESTER GENERACIÓN S.L.U.,122.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",31.0,Mediana,128.0,2013.0
Castilla y León,"PRIETO PALACIO, S.L.U.",6.0,H. Transporte y almacenamiento,162.0,Micro,129.0,2013.0
Castilla y León,"MADERA PINOSORIA, S.L.",11.0,C. Industria manufacturera,8.0,Pequeña,130.0,2013.0
"Navarra, Comunidad Foral de","INDUSTRIAL TONELERA NAVARRA, S.L.U.",28.0,C. Industria manufacturera,80.0,Pequeña,131.0,2014.0
"Rioja, La","CALZADOS FAL, S.A.",125.0,C. Industria manufacturera,170.0,Mediana,132.0,2013.0
"Madrid, Comunidad de","INDUSTRIAS GES, S.A.",27.0,C. Industria manufacturera,77.0,Pequeña,133.0,2014.0
"Rioja, La","FAL CALZADOS DE SEGURIDAD, S.A.",88.0,C. Industria manufacturera,62.0,Mediana,134.0,2012.0
Galicia,"TRANSPORTES MONTES OROZCO, S.L.",46.0,H. Transporte y almacenamiento,4775.0,Pequeña,135.0,2013.0
País Vasco,GRUPO IBERDROLA,6388.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",58640484.0,Gran empresa,136.0,2013.0
País Vasco,GRUPO IBERDROLA,7237.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",58949248.0,Gran empresa,137.0,2014.0
Andalucía,"ABALADOS SERVICES, S.L.",7.0,"M. Actividades profesionales, científicas y técnicas",8.0,Micro,138.0,2014.0
Comunitat Valenciana,GEMMA FERNÁNDEZ CARMONA,1.0,H. Transporte y almacenamiento,19.0,Micro,139.0,2014.0
Comunitat Valenciana,JUAN VICENTE MONFORT MOR,1.0,H. Transporte y almacenamiento,17.0,Micro,140.0,2014.0
Comunitat Valenciana,"CERÁMICA MAYOR, S.A.",221.0,C. Industria manufacturera,5714.0,Mediana,141.0,2014.0
Comunitat Valenciana,"SYRTRANS LOGISTICA, S.A.",192.0,H. Transporte y almacenamiento,6636.0,Mediana,142.0,2014.0
"Rioja, La","CALZADOS FAL, S.A.",142.0,C. Industria manufacturera,194.0,Mediana,143.0,2014.0
País Vasco,GRUPO IBERDROLA,7295.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",68762144.0,Gran empresa,144.0,2012.0
Comunitat Valenciana,"LOGÍSTICA CHEMA BALLESTER, S.L.",141.0,H. Transporte y almacenamiento,4533.0,Mediana,145.0,2014.0
"Madrid, Comunidad de","SOLID FOREST, S.L.",4.0,"M. Actividades profesionales, científicas y técnicas",4.0,Micro,146.0,2014.0
Castilla y León,"CONSTRUCCIONES Y OBRAS LLORENTE, S,A. 'COLLOSA'",238.0,F. Construcción,3129.0,Mediana,147.0,2014.0
Aragón,"VEA QUALITAS, S.L.U",22.0,S. Otros servicios,12.0,Pequeña,148.0,2012.0
Aragón,"VEA QUALITAS, S.L.U",12.0,S. Otros servicios,8.0,Pequeña,149.0,2013.0
Aragón,"VEA QUALITAS, S.L.U",11.0,S. Otros servicios,7.0,Pequeña,150.0,2014.0
Cataluña,"MENARINI DIAGNÓSTICOS, S.A.",222.0,S. Otros servicios,559.0,Mediana,151.0,2014.0
Comunitat Valenciana,"IDAI NATURE, S.L.",66.0,C. Industria manufacturera,19.0,Mediana,152.0,2014.0
País Vasco,"INGURUMENAREN KIDEAK INGENIERIA, S.L.",4.0,"M. Actividades profesionales, científicas y técnicas",4.0,Micro,153.0,2014.0
Andalucía,"GUAMAR, S.A.",92.0,F. Construcción,58.0,Mediana,154.0,2014.0
"Madrid, Comunidad de","PROYECTOS MEDIOAMBIENTALES, S.A.",15.0,"M. Actividades profesionales, científicas y técnicas",5.0,Pequeña,155.0,2014.0
Castilla y León,"CREO GESTORES ENERGÉTICOS, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",11.0,Micro,156.0,2012.0
Castilla y León,"CREO GESTORES ENERGÉTICOS, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",11.0,Micro,157.0,2013.0
Castilla y León,"CREO GESTORES ENERGÉTICOS, S.L.",7.0,"M. Actividades profesionales, científicas y técnicas",9.0,Micro,158.0,2014.0
País Vasco,"BASOINSA, S.L.",165.0,"M. Actividades profesionales, científicas y técnicas",70.0,Mediana,159.0,2014.0
Comunitat Valenciana,"FOMENTO BENICASIM, S.A.",77.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",330.0,Mediana,160.0,2014.0
Comunitat Valenciana,"4 PLUS INGENIEROS Y ARQUITECTOS, S.L.",40.0,"M. Actividades profesionales, científicas y técnicas",52.0,Pequeña,161.0,2014.0
Cataluña,"LAVOLA 1981, S.A.U.",164.0,"M. Actividades profesionales, científicas y técnicas",69.0,Mediana,162.0,2014.0
País Vasco,"LIMPIEZAS ABANDO, S.L.U.",121.0,S. Otros servicios,87.0,Mediana,163.0,2013.0
"Madrid, Comunidad de",AGRESTA S.COOP.,16.0,"M. Actividades profesionales, científicas y técnicas",6.0,Pequeña,164.0,2014.0
País Vasco,"ITELAZPI, S.A.",44.0,J. Información y comunicaciones,1359.0,Pequeña,165.0,2014.0
"Madrid, Comunidad de","AUTOCARES JULIÁN DE CASTRO, S.A.",171.0,H. Transporte y almacenamiento,5911.0,Mediana,166.0,2014.0
Castilla y León,"ROYBA 98, S.L.",32.0,F. Construcción,97.0,Pequeña,167.0,2014.0
"Madrid, Comunidad de","TECMENA, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",10.0,Micro,168.0,2014.0
"Madrid, Comunidad de","ALIDA INGENIERÍA DEL MEDIO, S.L.",6.0,"M. Actividades profesionales, científicas y técnicas",7.0,Micro,169.0,2013.0
Canarias,ASOCIACIÓN TENERIFE CALIDAD TURÍSTICA (EXCELENCIA TURÍSTICA DE TENERIFE),3.0,S. Otros servicios,4.0,Micro,170.0,2014.0
Castilla y León,"BODEGAS HNOS. PÉREZ PASCUAS, S.L.",124.0,C. Industria manufacturera,170.0,Mediana,171.0,2014.0
País Vasco,"MIRANDAOLA SERVICIOS MEDIOAMBIENTALES, S.L.",5.0,"M. Actividades profesionales, científicas y técnicas",5.0,Micro,172.0,2014.0
